cohort,cohort size,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
2020-07-06 00:00:00+00:00,7,7,1,2,2,3,4,3,4
2020-07-13 00:00:00+00:00,317,317,115,112,122,156,140,129,133
2020-07-20 00:00:00+00:00,725,725,293,253,346,304,317,294,335
2020-07-27 00:00:00+00:00,1088,1088,409,499,402,424,397,461,356
2020-08-03 00:00:00+00:00,1336,1336,679,495,514,514,597,434,610
2020-08-10 00:00:00+00:00,2176,2176,876,874,840,1012,730,1041,728
2020-08-17 00:00:00+00:00,1737,1737,845,850,968,732,997,654,542
2020-08-24 00:00:00+00:00,1751,1751,925,1014,743,1062,692,577,868
2020-08-31 00:00:00+00:00,1876,1876,1188,863,1165,766,610,912,1175
2020-09-07 00:00:00+00:00,2432,2432,1129,1494,959,766,1174,1523,948
2020-09-14 00:00:00+00:00,1950,1950,1256,801,621,897,1159,753,549
2020-09-21 00:00:00+00:00,3205,3205,1257,934,1358,1820,1119,846,732
2020-09-28 00:00:00+00:00,2034,2034,765,1031,1264,819,642,528,892
2020-10-05 00:00:00+00:00,1739,1739,1007,1125,759,615,516,792,624
2020-10-12 00:00:00+00:00,3637,3637,2079,1302,968,822,1403,1077,1071
2020-10-19 00:00:00+00:00,4218,4218,1658,1216,1022,1711,1318,1307,1181
2020-10-26 00:00:00+00:00,2671,2671,950,778,1221,929,904,836,471
2020-11-02 00:00:00+00:00,1950,1950,689,941,742,711,662,390,535
2020-11-09 00:00:00+00:00,1662,1662,866,705,677,654,369,491,363
2020-11-16 00:00:00+00:00,3079,3079,1252,1156,1051,568,791,572,832
2020-11-23 00:00:00+00:00,2312,2312,1033,887,488,678,495,701,844
2020-11-30 00:00:00+00:00,2430,2430,983,562,747,501,684,917,1244
2020-12-07 00:00:00+00:00,2281,2281,575,750,554,729,899,1175,1242
2020-12-14 00:00:00+00:00,1179,1179,476,360,451,515,649,683,531
2020-12-21 00:00:00+00:00,1715,1715,507,629,773,976,974,780,800
2020-12-28 00:00:00+00:00,1180,1180,519,584,691,721,552,562,654
2021-01-04 00:00:00+00:00,1983,1983,961,1096,1146,858,955,1014,1087
2021-01-11 00:00:00+00:00,2508,2508,1527,1535,1158,1260,1332,1444,1259
2021-01-18 00:00:00+00:00,4055,4055,2520,1749,1863,2082,2251,1985,1744
2021-01-25 00:00:00+00:00,5031,5031,2116,2275,2481,2645,2305,1984,1676
2021-02-01 00:00:00+00:00,3323,3323,1795,1896,1981,1763,1521,1287,1103
2021-02-08 00:00:00+00:00,3810,3810,2225,2283,1987,1725,1419,1263,862
2021-02-15 00:00:00+00:00,4245,4245,2721,2315,1997,1681,1411,1011,1780
2021-02-22 00:00:00+00:00,5031,5031,2717,2259,1911,1645,1118,1958,1525
2021-03-01 00:00:00+00:00,4344,4344,2234,1798,1539,1057,1780,1430,1729
2021-03-08 00:00:00+00:00,3638,3638,1707,1398,970,1604,1266,1545,1226
2021-03-15 00:00:00+00:00,3150,3150,1348,964,1413,1174,1374,1095,947
2021-03-22 00:00:00+00:00,2785,2785,898,1264,1041,1217,1001,854,857
