campaign_id,campaign_name,client,material,path,kpi_uu,deadline_start,deadline_end,total_days,agg_uu_login,agg_pv_login,agg_video_started_uu,agg_watchtime_pings,agg_watchtime_uu,agg_avg_watchtime_sec,agg_uu_facebook,agg_uu_instagram,agg_uu_bez_utm,agg_pct_realizacji,agg_brakuje_uu,campaign_status,date,day_of_week,day_number,daily_uu,daily_pv,daily_video_started_uu,cumulative_uu,cumulative_pv,cumulative_video_started,pct_kpi_cumulative,expected_pct,data_source,data_fetched_at
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-13,Piatek,1,21,28,10,21,28,10,5.2,5.6,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-14,Sobota,2,24,36,10,45,64,20,11.2,11.1,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-15,Niedziela,3,20,26,8,65,90,28,16.2,16.7,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-16,Poniedzialek,4,23,30,10,88,120,38,22.0,22.2,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-17,Wtorek,5,21,27,12,109,147,50,27.3,27.8,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-18,Sroda,6,20,27,11,129,174,61,32.2,33.3,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-19,Czwartek,7,16,19,8,145,193,69,36.2,38.9,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-20,Piatek,8,8,11,4,153,204,73,38.2,44.4,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-21,Sobota,9,8,10,4,161,214,77,40.2,50.0,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-22,Niedziela,10,9,9,6,170,223,83,42.5,55.6,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-23,Poniedzialek,11,15,16,9,185,239,92,46.2,61.1,PostHog HogQL,2026-03-24
1,251-2025 Klosterfrau,Klosterfrau,Benzydamina,/wideo/5-minut-o-leku-63/benzydamina-798,400,2026-03-13,2026-03-31,18,185,256,98,659,87,76,117,0,71,46.2,215,Zagrozone,2026-03-24,Wtorek,12,15,17,9,200,256,101,50.0,66.7,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-04,Sroda,1,25,29,4,25,29,4,5.0,3.7,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-05,Czwartek,2,32,37,6,57,66,10,11.4,7.4,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-06,Piatek,3,18,20,8,75,86,18,15.0,11.1,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-07,Sobota,4,11,15,4,86,101,22,17.2,14.8,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-08,Niedziela,5,9,9,2,95,110,24,19.0,18.5,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-09,Poniedzialek,6,20,21,6,115,131,30,23.0,22.2,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-10,Wtorek,7,15,19,3,130,150,33,26.0,25.9,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-11,Sroda,8,18,26,11,148,176,44,29.6,29.6,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-12,Czwartek,9,32,43,20,180,219,64,36.0,33.3,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-13,Piatek,10,19,25,12,199,244,76,39.8,37.0,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-14,Sobota,11,22,25,13,221,269,89,44.2,40.7,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-15,Niedziela,12,27,38,19,248,307,108,49.6,44.4,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-16,Poniedzialek,13,26,30,15,274,337,123,54.8,48.1,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-17,Wtorek,14,22,29,7,296,366,130,59.2,51.9,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-18,Sroda,15,14,17,6,310,383,136,62.0,55.6,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-19,Czwartek,16,16,20,10,326,403,146,65.2,59.3,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-20,Piatek,17,14,16,6,340,419,152,68.0,63.0,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-21,Sobota,18,12,14,7,352,433,159,70.4,66.7,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-22,Niedziela,19,15,20,11,367,453,170,73.4,70.4,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-23,Poniedzialek,20,13,13,5,380,466,175,76.0,74.1,PostHog HogQL,2026-03-24
2,6-2026 Glenmark-Ryaltris,Glenmark,Mometazon+olopatadyna,/wideo/5-minut-o-leku-63/mometazon-z-olopatadyna-797,500,2026-03-04,2026-03-31,27,348,475,164,844,143,59,170,0,184,69.6,152,Uwazaj,2026-03-24,Wtorek,21,7,9,4,387,475,179,77.4,77.8,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-02,Poniedzialek,1,25,35,7,25,35,7,6.2,3.4,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-03,Wtorek,2,39,51,13,64,86,20,16.0,6.9,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-04,Sroda,3,19,21,5,83,107,25,20.8,10.3,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-05,Czwartek,4,33,40,13,116,147,38,29.0,13.8,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-06,Piatek,5,26,33,18,142,180,56,35.5,17.2,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-07,Sobota,6,19,35,14,161,215,70,40.2,20.7,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-08,Niedziela,7,18,26,12,179,241,82,44.8,24.1,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-09,Poniedzialek,8,28,35,17,207,276,99,51.7,27.6,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-10,Wtorek,9,19,31,10,226,307,109,56.5,31.0,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-11,Sroda,10,18,24,7,244,331,116,61.0,34.5,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-12,Czwartek,11,21,24,7,265,355,123,66.2,37.9,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-13,Piatek,12,16,29,8,281,384,131,70.2,41.4,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-14,Sobota,13,13,16,7,294,400,138,73.5,44.8,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-15,Niedziela,14,24,39,18,318,439,156,79.5,48.3,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-16,Poniedzialek,15,22,34,14,340,473,170,85.0,51.7,PostHog HogQL,2026-03-24
3,229-2025 Egis Escitalopram,Egis,Escitalopram,/wideo/5-minut-o-leku-63/escitalopram-795,400,2026-03-02,2026-03-31,29,376,638,190,1941,184,105,163,2,225,94.0,24,Na kursie,2026-03-17,Wtorek,16,17,21,9,357,494,179,89.2,55.2,PostHog HogQL,2026-03-24
