"Nazwa kampanii","Nazwa zestawu reklam",Cel,"Status wyświetlania","Poziom wyświetlania",Zasięg,Wyświetlenia,Częstotliwość,"Ustawienie atrybucji","Typ wyniku",Wyniki,"Wydana kwota (PLN)","Koszt wyniku",Rozpoczęcie,Zakończenie,"Początek okresu raportowania","Koniec okresu raportowania"
"Remedium - Reklamy - LPV (budżet wewnętrzny) - nowa","Aktywni - Narzędzia - FB/IG – ADV+",LINK_CLICKS,not_delivering,adset,83355,486225,5.83318337,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",1568,6243,3.9815051,2024-01-28,"W toku",2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Kurs Immunologia i choroby układu oddechowego | listopad 2025 | Sandoz",OUTCOME_SALES,completed,adset,118294,533682,4.51148833,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,2750,6097.58,2.21730182,2025-07-04,2025-12-31,2025-01-01,2026-03-17
"Remedium - Reklamy - Konwersje (rejestracje) - budżet wewnętrzny","Prospecting - Lekarze – nowe",CONVERSIONS,active,adset,72766,280396,3.85339307,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Ukończone rejestracje w witrynie",532,5231.31,9.83328947,2023-07-28,"W toku",2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Nowoczesne leczenie przeciwkrzepilwe | 30 września | [6-2025-Sandoz-Kurs przeciwkrzepliwy] – v2",OUTCOME_SALES,completed,adset,40623,391046,9.6262216,"Kliknięcia z 7 dni, wyświetlenia z 1 dnia lub wyświetlenia z 1 dnia przez zaangażowanych odbiorców",Video_Play,7008,5000,0.71347032,2025-10-02,2025-12-31,2025-01-01,2026-03-17
"Remedium - Obejrzenie video na stronie (budżet wewnętrzny)","04.11 - Remedium - FB/IG – Kurs Sandoz - kampania roczna",OUTCOME_SALES,inactive,adset,176547,499571,2.82967708,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,2554,4437.7,1.73754894,2024-11-04,2025-11-03,2025-01-01,2026-03-17
"[KL] Konferencje klienckie [zapis na wydarzenie]","MKK 2025 | 14-15.04.2025 r.",OUTCOME_LEADS,completed,adset,76795,345211,4.49522755,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",519,4299.37,8.2839499,2025-03-11,2025-04-14,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","FB/IG - Poradnik | Migotanie przedsionków | 2025 | Adamed 224-2024",LINK_CLICKS,completed,adset,106738,403164,3.77713654,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",8409,4030,0.47924842,2025-02-04,2025-12-31,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Poradnik | Niewydolność serca | 31.12.2025 | [238-2024 AZ Forxiga]",LINK_CLICKS,completed,adset,59012,402984,6.82884837,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",17922,3600,0.20087044,2025-06-16,2025-12-31,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Poradnik | Przewlekła choroba nerek | 31.12.2025 | [238-2024 AZ Forxiga]",LINK_CLICKS,completed,adset,66456,367672,5.5325629,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",11391,3599.87,0.31602757,2025-06-16,2025-12-31,2025-01-01,2026-03-17
"[KL] Konferencje klienckie [zapis na wydarzenie]","WDKA 25 | 13-14.03",OUTCOME_LEADS,completed,adset,80875,420926,5.20464915,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",608,3499.93,5.75646382,2025-02-03,2025-03-13,2025-01-01,2026-03-17
