"","remedium.md","podyplomie.pl","konsylium24.pl","adamed.expert"
"mar 2024","6708","833","260","0"
"kwi 2024","6437","3191","2","371"
"maj 2024","6795","792","512","1"
"cze 2024","8878","582","305","0"
"lip 2024","3460","1554","0","0"
"sie 2024","9897","176","574","0"
"wrz 2024","8068","12 046","3926","0"
"paź 2024","13 029","77","158","479"
"lis 2024","10 577","438","0","112"
"gru 2024","4568","667","712","0"
"sty 2025","11 699","6969","845","208"
"lut 2025","10 910","989","966","0"
"mar 2025","16 517","1565","953","360"
"kwi 2025","15 904","821","2347","0"
"maj 2025","15 863","1561","4891","3175"
"cze 2025","7710","2463","1080","16 601"
"lip 2025","23 531","4807","891","204"
"sie 2025","17 897","1401","696","0"
"wrz 2025","15 006","1900","1583","139"
"paź 2025","9424","4092","1829","708"
"lis 2025","7980","1194","1251","533"
"gru 2025","4239","2219","1475","1105"
"sty 2026","7805","1406","1663","319"
"lut 2026","15 950","3885","3980","110"
"mar 2026","8389","1272","1619","1003"
