"Data","remedium.md","podyplomie.pl","konsylium24.pl","adamed.expert"
"1 lut","13 671","2809","593","492"
"2 lut","19 944","2436","330","3044"
"3 lut","3765","2977","266","439"
"4 lut","5860","2286","343","137"
"5 lut","7294","3449","833","325"
"6 lut","6859","5122","569","253"
"7 lut","13 364","1668","262","5051"
"8 lut","12 637","1937","345","39"
"9 lut","19 480","1494","325","374"
"10 lut","17 231","5576","730","325"
"11 lut","4521","1842","715","262"
"12 lut","10 513","1160","157","527"
"13 lut","3508","972","0","2491"
"14 lut","1395","934","214","18 544"
"15 lut","2856","1530","485","683"
"16 lut","10 399","1306","477","5269"
"17 lut","7752","3412","561","4412"
"18 lut","12 614","3952","127","292"
"19 lut","11 238","781","353","424"
"20 lut","4648","993","50","348"
"21 lut","5954","484","187","84"
"22 lut","7492","948","2879","3313"
"23 lut","11 213","2494","339","9827"
"24 lut","5155","2309","472","2251"
"25 lut","8907","2470","1419","374"
"26 lut","13 605","5778","2357","249"
"27 lut","7987","1337","561","4342"
"28 lut","2075","681","241","0"
"1 mar","17 854","3121","297","512"
"2 mar","3285","1811","317","460"
"3 mar","3058","3091","1895","8908"
"4 mar","3351","2633","3333","627"
"5 mar","5903","1752","523","306"
"6 mar","3997","1353","190","3116"
"7 mar","7733","4910","170","0"
"8 mar","13 078","2808","0","618"
"9 mar","3216","2104","408","468"
"10 mar","1995","2120","1663","7450"
"11 mar","4177","2222","4038","1419"
"12 mar","4642","5535","266","111"
"13 mar","3719","1252","80","3800"
"14 mar","5960","4438","188","287"
"15 mar","11 145","1712","669","912"
"16 mar","4875","2830","503","631"
"17 mar","12 093","2637","470","879"
"18 mar","7095","2511","722","477"
"19 mar","7714","2427","583","913"
"20 mar","5674","2199","405","2109"
"21 mar","10 298","2370","426","1118"
"22 mar","9770","2591","1051","586"
"23 mar","7943","2273","855","1261"
"24 mar","10 437","2687","474","1121"
"25 mar","7963","2700","888","488"
"26 mar","8242","2427","600","913"
"27 mar","6134","2199","405","2852"
"28 mar","10 371","2370","477","1601"
"29 mar","9771","2591","1125","1051"
"30 mar","8105","2449","763","2356"
"31 mar","10 912","2687","480","1574"
"1 kwi","8311","2700","943","500"
"2 kwi","8544","2527","758","913"
"3 kwi","6608","1881","423","2849"
"4 kwi","6905","2267","629","2100"
"5 kwi","10 894","2703","1306","1472"
"6 kwi","8304","2421","680","1683"
"7 kwi","11 271","2687","610","2078"
"8 kwi","7592","2720","1024","590"
"9 kwi","8382","2382","712","1228"
"10 kwi","6544","1825","532","2819"
"11 kwi","5332","2070","877","1601"
"12 kwi","10 821","2703","1308","1580"
"13 kwi","6712","2505","956","1480"
"14 kwi","9178","2674","689","2532"
"15 kwi","7590","2683","1054","590"
"16 kwi","8957","2432","837","1036"
"17 kwi","5851","1825","470","2849"
"18 kwi","6575","2070","762","1245"
"19 kwi","11 393","2823","1308","1384"
"20 kwi","8224","2505","868","1480"
