"Data","remedium.md","podyplomie.pl","konsylium24.pl","adamed.expert"
"mar 2024","176 502","792 441","135 478","84 482"
"kwi 2024","230 497","680 786","75 721","93 649"
"maj 2024","259 089","615 232","108 089","52 452"
"cze 2024","191 984","469 545","131 856","79 236"
"lip 2024","213 150","575 539","156 906","80 398"
"sie 2024","258 600","444 348","142 067","73 750"
"wrz 2024","311 759","430 303","209 751","96 220"
"paź 2024","281 341","482 618","179 013","85 077"
"lis 2024","352 037","533 940","180 505","115 832"
"gru 2024","388 966","514 360","155 105","94 294"
"sty 2025","379 343","478 890","72 580","142 029"
"lut 2025","411 528","414 362","135 758","121 403"
"mar 2025","523 033","541 178","383 417","102 636"
"kwi 2025","360 680","316 578","200 225","99 838"
"maj 2025","342 196","266 477","142 436","164 006"
"cze 2025","378 795","325 164","146 306","198 591"
"lip 2025","346 919","244 115","247 026","147 124"
"sie 2025","337 552","176 770","83 669","89 382"
"wrz 2025","385 305","265 161","165 395","112 141"
"paź 2025","496 938","409 756","185 141","170 945"
"lis 2025","458 019","313 176","143 957","178 129"
"gru 2025","265 770","282 148","102 977","226 691"
"sty 2026","362 700","125 065","115 341","144 421"
"lut 2026","471 964","203 694","138 088","164 928"
"mar 2026","400 528","143 692","137 229","161 853"
