"","remedium.md","podyplomie.pl","konsylium24.pl","adamed.expert"
"mar 2024","78 114","583 956","32 992","18 497"
"kwi 2024","111 994","464 098","21 369","33 263"
"maj 2024","106 276","445 282","32 041","33 981"
"cze 2024","79 363","316 237","25 609","18 347"
"lip 2024","95 418","351 102","54 032","18 401"
"sie 2024","112 494","298 254","36 503","11 685"
"wrz 2024","119 235","270 348","39 648","44 391"
"paź 2024","130 154","365 035","45 212","28 767"
"lis 2024","136 794","276 581","33 440","51 882"
"gru 2024","127 066","281 179","24 732","53 597"
"sty 2025","162 433","338 503","26 748","58 937"
"lut 2025","185 164","232 211","31 578","50 154"
"mar 2025","149 337","321 479","27 431","42 972"
"kwi 2025","113 677","188 067","34 586","31 079"
"maj 2025","107 722","141 494","20 748","46 490"
"cze 2025","130 914","199 337","26 883","58 080"
"lip 2025","134 851","112 907","27 112","28 870"
"sie 2025","126 318","105 901","18 005","31 852"
"wrz 2025","158 108","184 389","57 541","30 330"
"paź 2025","232 192","245 767","46 167","67 523"
"lis 2025","232 793","188 853","34 926","48 119"
"gru 2025","130 251","167 570","45 484","61 356"
"sty 2026","170 898","75 204","32 196","34 644"
"lut 2026","256 322","59 893","15 417","65 679"
"mar 2026","230 510","80 652","24 231","48 891"
